intervall;geraete;laeufe_pro_geraet_monat;requests_monat;lambda_gb_sekunden;ddb_rru;ddb_wru;usd_monat;usd_pro_geraet_monat;free_tier;ms_config;ms_checkin
5 min;20;8640;345600;2246.4;345600;345600;0.969823;0.04849114;ja;41.0;63.0
5 min;200;8640;3456000;22464.0;3456000;3456000;10.189427;0.05094714;ja;41.0;63.0
5 min;2000;8640;34560000;224640.0;34560000;34560000;103.694272;0.05184714;ja;41.0;63.0
15 min;20;2880;115200;748.8;115200;115200;0.323274;0.01616371;ja;41.0;63.0
15 min;200;2880;1152000;7488.0;1152000;1152000;3.263142;0.01631571;ja;41.0;63.0
15 min;2000;2880;11520000;74880.0;11520000;11520000;34.431424;0.01721571;ja;41.0;63.0
Lektionsende;20;171;6840;44.46;6840;6840;0.019194;0.00095972;ja;41.0;63.0
Lektionsende;200;171;68400;444.6;68400;68400;0.191944;0.00095972;ja;41.0;63.0
Lektionsende;2000;171;684000;4446.0;684000;684000;1.919441;0.00095972;ja;41.0;63.0
1x taeglich;20;30;1200;7.8;1200;1200;0.003367;0.00016837;ja;41.0;63.0
1x taeglich;200;30;12000;78.0;12000;12000;0.033674;0.00016837;ja;41.0;63.0
1x taeglich;2000;30;120000;780.0;120000;120000;0.336744;0.00016837;ja;41.0;63.0
